Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,317.1648,324.8441,310.5908,312.1512,1262502627.7247386,48234254451.993034
2023-12-30,2023-12-31,313.4331,319.9028,313.3011,317.1089,1665400085.5958188,48031483892.39373
2023-12-29,2023-12-30,323.4871,325.2777,309.3453,313.2474,3095120450.12892,47995965391.17073
2023-12-28,2023-12-29,319.9207,337.0712,319.9207,323.2359,3977369806.4599304,49678372022.728226
2023-12-27,2023-12-28,296.7139,322.4839,286.2905,322.4839,3871479315.020906,45981499938.84669
2023-12-26,2023-12-27,266.8229,302.0408,265.083,297.5401,2330278385.4843206,43057044206.70035
2023-12-25,2023-12-26,264.0105,267.9268,262.3053,267.1742,1013672345.2648084,40292755896.21951
2023-12-24,2023-12-25,271.0291,272.5525,262.8348,264.5654,919856435.8188154,40785689078.38328
2023-12-23,2023-12-24,271.6345,272.0809,266.147,271.2469,1135444750.512195,40809862525.88153
2023-12-22,2023-12-23,271.4724,276.0881,265.3169,271.4781,1865308359.5923345,41104874903.36585
2023-12-21,2023-12-22,260.0647,274.0825,256.8001,271.1914,1787899511.7909408,40374487976.61324
2023-12-20,2023-12-21,252.7901,261.3837,250.8375,259.8879,1949719889.0940766,38910888548.51568
2023-12-19,2023-12-20,241.7656,254.5132,241.7415,252.4267,1513318880.6376307,37789510466.29269
2023-12-18,2023-12-19,239.8095,241.3015,233.121,241.1858,1092197806.1881533,36042439626.439026
2023-12-17,2023-12-18,244.4831,244.5134,239.1447,239.5437,746253082.1289198,36741674789.38328
2023-12-16,2023-12-17,245.1385,248.003,243.7082,244.3262,905821339.7595819,37354185826.96167
2023-12-15,2023-12-16,253.1666,253.1666,243.7713,244.6413,1121685049.2578397,37768978563.191635
2023-12-14,2023-12-15,251.9022,253.9455,248.6352,253.3622,1419143849.4703832,38130178915.67247
2023-12-13,2023-12-14,254.5267,255.3404,244.7206,252.2951,2344539321.174825,37982927393.3042
2023-12-12,2023-12-13,247.1761,256.4996,246.3192,254.3655,2835995584.324042,38259844706.61672
2023-12-11,2023-12-12,240.2223,246.6647,231.1491,246.1061,1857037640.8802817,36219618481.330986
2023-12-10,2023-12-11,238.093,241.3662,237.3211,239.92,1038090625.6202091,36396426465.52962
2023-12-09,2023-12-10,239.5397,245.0122,237.021,237.9757,1375134874.6376307,36618316121.69686
2023-12-08,2023-12-09,233.363,239.7894,232.7462,239.0678,1271991578.867596,35754261340.13937
2023-12-07,2023-12-08,229.7891,234.6957,229.5768,232.9187,1269887165.4216027,35192787559.67247
2023-12-06,2023-12-07,231.7448,234.5311,229.4781,229.6273,1301375682.2439024,35085209247.30314
2023-12-05,2023-12-06,233.0571,234.3152,228.5625,231.2748,1959881682.6794424,35072970755.05575
2023-12-04,2023-12-05,228.4346,236.2309,227.1254,233.1541,1887110508.7038329,35013095038.5784
2023-12-03,2023-12-04,229.3533,231.7073,226.5848,228.1085,880759339.4808363,34609199195.57143
2023-12-02,2023-12-03,228.8082,230.3287,226.9796,229.4015,652206110.2160279,34697157893.91986
2023-12-01,2023-12-02,227.9785,230.0502,227.5456,228.6126,679133824.4055943,34720036549.23776
2023-11-30,2023-12-01,227.5268,229.4158,226.4552,227.8561,688479563.0347222,34580823479.65972
2023-11-29,2023-11-30,229.7597,231.2931,226.7001,227.3916,785136422.53125,34739726559.052086
2023-11-28,2023-11-29,227.5029,231.8403,224.9701,229.7131,983175765.8055556,34672089346.10069
2023-11-27,2023-11-28,232.0906,232.9909,223.2739,227.6446,943516190.5191637,34586938004.18467
2023-11-26,2023-11-27,234.7077,234.7077,229.6482,232.272,610159288.1052631,35337827081.42456
2023-11-25,2023-11-26,232.7956,235.7733,232.698,234.4484,798988525.6097561,35519408489.69338
2023-11-24,2023-11-25,234.1598,236.6339,232.269,232.8828,976398342.8571428,35579846846.111496
2023-11-23,2023-11-24,237.6461,238.9849,230.8858,233.9017,1604814000.1289198,35569010182.84669
2023-11-22,2023-11-23,227.6757,238.1711,227.3415,236.2568,4884329571.724739,35497032164.44948
2023-11-21,2023-11-22,253.29,269.468,226.1564,227.5519,3567107141.738676,38565040404.167244
2023-11-20,2023-11-21,246.5035,264.2911,243.3009,253.6375,1057284627.1811846,37886177161.637634
