Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,15.2235,15.5025,14.9188,14.921,544351502.7421603,8650053051.296167
2023-12-30,2023-12-31,15.5233,15.6397,15.0453,15.1901,802515460.9163764,8694014487.707317
2023-12-29,2023-12-30,16.0789,16.2263,15.2438,15.5491,1338051295.522648,8984657797.40418
2023-12-28,2023-12-29,16.6926,17.6433,16.0473,16.0538,2102803926.5853658,9541506418.811846
2023-12-27,2023-12-28,15.0908,16.6859,14.7211,16.6641,1173296707.2508712,8856596385.445993
2023-12-26,2023-12-27,15.601,15.8733,14.517,15.1006,999487237.3310105,8676032243.15331
2023-12-25,2023-12-26,15.3373,15.6954,15.164,15.6072,921631640.5783972,8753880545.832752
2023-12-24,2023-12-25,15.6514,15.9349,15.2586,15.3346,1048028945.1986063,8900398872.571428
2023-12-23,2023-12-24,15.4974,15.8928,14.9695,15.6853,949844320.7456446,8748888589.989548
2023-12-22,2023-12-23,15.3168,15.702,15.1093,15.5171,1227421697.0940766,8742600693.285715
2023-12-21,2023-12-22,14.2397,15.3032,14.2331,15.3032,981014394.2299652,8370878828.87108
2023-12-20,2023-12-21,14.1035,14.7963,14.0127,14.2453,788478328.8675958,8168811211.965157
2023-12-19,2023-12-20,14.6335,14.7994,13.9966,14.1094,1088219217.9163764,8188732914.170732
2023-12-18,2023-12-19,14.0581,14.6492,13.7131,14.6492,1031676710.28223,8035485670.895471
2023-12-17,2023-12-18,14.349,14.3726,13.954,14.0475,689377495.5470383,8075000289.888502
2023-12-16,2023-12-17,14.2934,14.7924,14.1656,14.3095,853138603.6062717,8222824196.278746
2023-12-15,2023-12-16,15.3759,15.385,14.2883,14.2883,1256955699.3135889,8312130667.891986
2023-12-14,2023-12-15,14.7504,15.5564,14.6436,15.3949,1266258626.5261323,8362378203.832752
2023-12-13,2023-12-14,14.5085,14.9214,13.9776,14.7817,1305147617.2447553,8014526471.65035
2023-12-12,2023-12-13,14.8059,15.1358,14.2009,14.5442,1438465283.0034842,8218826938.209059
2023-12-11,2023-12-12,16.4072,16.4738,14.2763,14.7558,1822391616.9225352,8331606113.503521
2023-12-10,2023-12-11,16.2769,16.4583,15.8473,16.367,1232770419.8013937,9035471672.22648
2023-12-09,2023-12-10,17.0047,17.2853,16.1456,16.2298,1828053656.4494774,9341570160.522648
2023-12-08,2023-12-09,15.7484,17.1389,15.5866,17.0014,1908083062.5296168,9102521453.289198
