Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,2304.0161,2332.4726,2286.8033,2290.7806,9328770192.160278,277269253933.9094
2023-12-30,2023-12-31,2302.3851,2330.2361,2279.8696,2307.4329,13963348868.912891,277190698757.79443
2023-12-29,2023-12-30,2355.2031,2389.6729,2278.6963,2304.5868,18096331672.404182,281655690402.36237
2023-12-28,2023-12-29,2389.6032,2447.6009,2344.325,2354.3096,22036625668.738674,287112286033.9094
2023-12-27,2023-12-28,2234.9106,2392.2243,2220.1078,2382.9219,14889105005.599302,275812025686.9582
2023-12-26,2023-12-27,2277.8463,2280.5342,2196.648,2236.053,12238437876.278746,269709280307.27875
2023-12-25,2023-12-26,2281.6645,2314.1756,2266.721,2277.8997,10558970699.543554,274894661410.0383
2023-12-24,2023-12-25,2318.2148,2338.013,2261.5892,2281.7895,10659466718.181185,276660135328.4181
2023-12-23,2023-12-24,2336.5846,2337.3574,2273.8281,2324.5017,15453294959.477352,276222264685.29266
2023-12-22,2023-12-23,2243.2137,2348.5416,2238.41,2334.5749,19761317473.707317,276545513085.0836
2023-12-21,2023-12-22,2203.1994,2279.1615,2191.2078,2241.3124,16931218256.49129,266670185742.81534
2023-12-20,2023-12-21,2182.992,2265.3161,2173.6478,2203.634,14297461493.682926,264579980273.78745
2023-12-19,2023-12-20,2220.5282,2256.8868,2146.9782,2182.7852,14063390675.264809,266503182313.85715
2023-12-18,2023-12-19,2215.2821,2225.4213,2132.7131,2219.8065,12043900808.10453,261774503078.80487
2023-12-17,2023-12-18,2240.5967,2259.481,2208.8972,2209.3412,8861064803.937283,268429367893.92334
2023-12-16,2023-12-17,2235.4109,2275.7127,2225.6671,2237.8364,11738110573.30662,270854614668.93033
2023-12-15,2023-12-16,2319.4836,2323.195,2226.2631,2226.2631,15541900763.031359,272888346679.87805
2023-12-14,2023-12-15,2267.0949,2337.1193,2250.1144,2321.5086,15912075464.72474,274946330415.86414
2023-12-13,2023-12-14,2209.3063,2288.4153,2159.3775,2270.0679,15418236983.496504,265323828046.1049
2023-12-12,2023-12-13,2231.6641,2247.4513,2174.2351,2211.4454,17509170039.585365,266740138416.8223
2023-12-11,2023-12-12,2364.186,2366.0215,2172.8362,2226.3719,17070233379.84507,269633213660.4331
2023-12-10,2023-12-11,2353.9034,2389.3012,2334.7485,2367.2263,11316445443.247387,283755771272.10455
2023-12-09,2023-12-10,2369.8255,2408.1871,2346.062,2347.8794,14883172926.066202,284679908347.65155
2023-12-08,2023-12-09,2360.6813,2391.0809,2346.1622,2365.7928,19026401682.425087,284668863875.60626
2023-12-07,2023-12-08,2234.77,2382.3684,2231.501,2359.8526,15551563502.1777,275002171298.0139
