Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,73.2181,74.1498,72.4332,72.7829,524339282.6062718,5442726583.982578
2023-12-30,2023-12-31,73.1514,73.9638,72.5529,73.3006,804270938.3867596,5428459597.219512
2023-12-29,2023-12-30,76.7488,77.5994,73.1745,73.2147,1155988497.5261323,5609215398.878049
2023-12-28,2023-12-29,75.815,77.4729,74.7473,76.6932,1224216906.7142856,5638811172.54007
2023-12-27,2023-12-28,73.1631,76.9884,72.399,75.7599,1153635381.672474,5526544583.616725
2023-12-26,2023-12-27,72.1854,74.216,71.3295,73.1284,743951353.6898955,5372142046.372823
2023-12-25,2023-12-26,71.2005,72.6149,70.7684,72.2468,601963362.2160279,5325119735.655052
2023-12-24,2023-12-25,72.4347,72.8637,70.5631,71.1931,571544864.9965156,5348646123.425087
2023-12-23,2023-12-24,73.5934,73.8619,71.6223,72.5484,716838540.5958188,5348285021.550523
2023-12-22,2023-12-23,70.9961,73.7081,70.5554,73.6932,691951470.4738677,5311401650.770035
2023-12-21,2023-12-22,69.6511,71.0122,69.038,70.8734,796946341.0034844,5190867259.693379
2023-12-20,2023-12-21,70.8497,71.7619,69.6069,69.7697,557847020.6620209,5250086786.97561
2023-12-19,2023-12-20,70.8472,71.5643,69.9519,70.6307,578041638.7142857,5251112251.320558
2023-12-18,2023-12-19,71.3719,71.5194,68.3623,70.7896,664966797.2055749,5185840298.407665
2023-12-17,2023-12-18,72.2543,73.5423,71.0152,71.2532,557732031.9581882,5368325608.728223
2023-12-16,2023-12-17,71.1327,72.5186,70.8601,72.1501,514982827.65156794,5331849720.013937
2023-12-15,2023-12-16,72.8412,72.8412,70.8649,70.8932,671489220.9407666,5323882903.303136
2023-12-14,2023-12-15,73.1798,74.0309,71.8924,72.9213,780408784.9372822,5400653148.770035
2023-12-13,2023-12-14,72.4326,73.9728,70.6302,73.1912,754927341.8391608,5330725515.982517
2023-12-12,2023-12-13,72.7315,73.6471,71.1204,72.4414,892451471.2682927,5369483497.710801
2023-12-11,2023-12-12,77.3755,77.5242,71.587,72.5701,1022720204.2042253,5429930369.253521
2023-12-10,2023-12-11,76.887,78.6097,76.887,77.1854,1043624129.5156795,5752048330.909408
2023-12-09,2023-12-10,78.379,79.4893,76.1311,76.3341,1126100477.4111497,5753595675.512196
