Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,165.8296,167.7567,164.0134,164.9948,112371068.89198606,3048097646.261324
2023-12-30,2023-12-31,165.701,168.7343,162.5885,165.7422,181940203.9860627,3031640434.219512
2023-12-29,2023-12-30,174.4106,175.7343,162.5662,166.3226,182669020.64111498,3125050715.839721
2023-12-28,2023-12-29,175.1211,179.6897,172.3896,174.3075,171923738.63066202,3228996586.529617
2023-12-27,2023-12-28,173.6419,175.7155,172.4396,174.8652,130209189.82229964,3198073380.6132402
2023-12-26,2023-12-27,173.9346,175.8889,171.0486,173.6512,115137382.40069686,3197073907.6655054
2023-12-25,2023-12-26,171.0123,174.2103,170.3527,174.0319,117947364.75958188,3175333792.3379793
2023-12-24,2023-12-25,177.897,178.2838,170.8337,171.2662,114861444.93379791,3225378413.69338
2023-12-23,2023-12-24,176.4964,178.1093,174.5982,177.8335,135074936.0209059,3233806831.3867598
2023-12-22,2023-12-23,173.2008,176.4998,171.2736,176.4998,137022322.09756097,3183713735.595819
2023-12-21,2023-12-22,174.104,175.5224,172.2675,172.7592,135023733.1533101,3193929648.139373
2023-12-20,2023-12-21,170.7211,174.3564,170.7211,174.188,134186594.7804878,3179510229.9059234
2023-12-19,2023-12-20,173.0001,175.3047,167.9117,170.1543,160033401.3066202,3155290194.160279
2023-12-18,2023-12-19,167.4197,173.2959,166.1847,173.2959,137723837.18118468,3118011500.285714
2023-12-17,2023-12-18,167.6093,169.2284,166.7332,167.0786,110611224.90940766,3083562572.8641114
2023-12-16,2023-12-17,168.2894,170.895,167.1345,167.9596,128922293.82229964,3110976860.512195
2023-12-15,2023-12-16,167.9022,171.519,167.599,168.0278,139277028.63763067,3107152555.87108
2023-12-14,2023-12-15,168.3752,168.8844,165.8838,167.7209,131731642.93728223,3084157608.8954706
2023-12-13,2023-12-14,170.2598,170.3201,166.6672,168.6104,141765325.77622378,3092325925.716783
2023-12-12,2023-12-13,171.2682,172.6132,167.9239,170.3013,155258738.07317072,3137466474.449477
2023-12-11,2023-12-12,175.5779,176.0012,164.7454,171.1441,153291948.67957747,3127602776.556338
2023-12-10,2023-12-11,174.9084,178.0652,174.4098,175.3098,124684190.08710802,3239185350.268293
2023-12-09,2023-12-10,174.084,176.4823,173.881,174.5925,142342730.9303136,3219602519.7456446
