Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,102.5052,105.1609,99.9083,101.459,3947658723.1881533,44289541453.15331
2023-12-30,2023-12-31,106.0919,107.1061,101.0506,101.8192,6395418260.372823,44478711622.79791
2023-12-29,2023-12-30,102.0785,109.7617,100.1647,106.2098,9810188991.989548,45484831248.296165
2023-12-28,2023-12-29,107.4329,109.3014,97.5715,102.1338,9410960687.735191,44163208153.41812
2023-12-27,2023-12-28,113.2844,114.9011,105.6063,107.1748,11410864227.191637,47209599204.400696
2023-12-26,2023-12-27,120.8954,120.8954,104.0087,112.6387,13022271266.95122,48714714338.06272
2023-12-25,2023-12-26,112.9395,125.3934,109.0318,121.3494,11577596864.1777,49446300813.689896
2023-12-24,2023-12-25,108.5895,117.3198,107.8219,112.7023,13309609370.386759,48342506095.059235
2023-12-23,2023-12-24,98.166,109.336,93.361,107.7496,7667423936.400697,41838035451.03484
2023-12-22,2023-12-23,93.8658,99.3053,91.149,98.3141,11759832243.930313,40915291929.32753
2023-12-21,2023-12-22,81.9309,95.182,81.628,94.0013,9354364484.069687,37553659172.954704
2023-12-20,2023-12-21,73.2455,83.8895,73.2455,82.4289,5546245126.383275,33407168145.675957
2023-12-19,2023-12-20,74.2308,76.338,72.2619,73.073,4539609063.139373,31907932969.28223
2023-12-18,2023-12-19,71.2707,75.3914,67.4213,74.4084,4231865944.696864,30302018633.03136
2023-12-17,2023-12-18,73.9519,74.7287,70.8901,71.2907,3294549271.062718,31286614327.344948
2023-12-16,2023-12-17,73.1904,77.224,71.8316,73.4823,4937512187.393728,31875979175.296165
2023-12-15,2023-12-16,75.5848,79.2074,72.5804,72.5804,5899993767.407665,32552597985.74913
2023-12-14,2023-12-15,70.6483,76.3066,69.8186,75.7272,4881921221.609756,30897341201.142857
2023-12-13,2023-12-14,68.5211,72.4703,64.5065,70.9437,4901652997.506993,28825851246.503498
2023-12-12,2023-12-13,71.0181,72.3153,66.1364,68.7703,5997654699.602787,29827617170.54704
2023-12-11,2023-12-12,74.4073,74.5967,67.214,70.3263,6277621546.288733,29744050011.65845
2023-12-10,2023-12-11,72.6621,74.8253,70.9171,74.8253,4716649769.055749,31128074883.916378
2023-12-09,2023-12-10,75.3088,77.5529,72.1696,72.34,6419304670.073171,31972200048.09756
2023-12-08,2023-12-09,68.452,74.9796,68.452,74.754,7914141358.644599,30701823346.229965
2023-12-07,2023-12-08,61.7529,69.2384,61.7529,67.8705,5239261062.707317,27461858189.91986
2023-12-06,2023-12-07,61.5188,66.402,61.5188,61.9328,5637847858,27068903157.139374
2023-12-05,2023-12-06,61.3008,62.3324,59.2448,60.9504,3966742696.076655,25722745596.658535
2023-12-04,2023-12-05,63.0468,65.1831,60.3689,61.5491,3926504995.923345,26540642374.261326
2023-12-03,2023-12-04,63.6384,65.2932,62.4468,63.0207,3364356951.8641114,26964660354.55749
2023-12-02,2023-12-03,59.7817,63.5086,59.7817,63.5086,3064345136.56446,26273309715.411148
2023-12-01,2023-12-02,59.2525,61.6937,58.7723,59.7753,3224115523.4020977,25667388151.573425
2023-11-30,2023-12-01,59.3217,61.602,58.9104,59.2705,3700166785.4340277,25383151303.72222
2023-11-29,2023-11-30,58.2021,61.5351,57.8792,59.185,4024099641.638889,25237615591.52778
2023-11-28,2023-11-29,55.0789,58.5892,54.0966,58.156,2971410207.951389,23768092619.46528
2023-11-27,2023-11-28,57.4816,57.9823,53.7218,55.1094,2566031301.958188,23535776956.076656
2023-11-26,2023-11-27,59.0351,59.0351,56.553,57.6492,1871667859.4736843,24507400876.473682
2023-11-25,2023-11-26,56.2237,59.6347,56.2237,58.8609,2925119867.432056,24795860163.236935
2023-11-24,2023-11-25,56.5323,58.7131,56.3482,56.886,2796202931.6689897,24332534490.770035
2023-11-23,2023-11-24,57.6602,59.3613,56.2572,56.6032,4075375672.055749,24342873157.74913
2023-11-22,2023-11-23,52.4858,58.6263,52.4858,57.585,5473255166.344948,23360329545.63066
2023-11-21,2023-11-22,56.5512,57.3404,51.9007,52.1914,4746578703.331011,23441888582.34843
2023-11-20,2023-11-21,60.9464,61.1666,56.2075,56.4962,4199612751.6062717,25041166794.616726
2023-11-19,2023-11-20,58.2572,61.9631,56.9036,61.5529,4253000884.292683,25292754053.62021
2023-11-18,2023-11-19,58.2501,59.2626,55.0956,58.5434,5370988652.027875,24318664006.243904
2023-11-17,2023-11-18,58.0424,60.411,54.6295,58.1607,7815585323.348432,24569571048.90244
2023-11-16,2023-11-17,65.255,68.0574,56.8301,57.9852,8295721432.146341,26904258159.254356
2023-11-15,2023-11-16,56.8719,66.7495,56.3811,65.4746,7595728111.76655,25726863488.682926
2023-11-14,2023-11-15,52.5112,57.5666,52.4396,56.9071,6963212975.167248,23145147200
2023-11-13,2023-11-14,55.9716,59.3681,52.0536,52.1926,6219169113.9930315,23810945632.285713
2023-11-12,2023-11-13,57.5928,61.7002,55.0446,55.9897,9012842569.770035,24440751407.317074
2023-11-11,2023-11-12,57.239,63.2363,54.0915,56.2981,9512197921.229965,24093845020.358887
